fund_code,nav_date,unit_nav,accumulated_nav,daily_return,created_at
023037,2025-01-21,1.0,,0.0,2026-06-12 06:28:58
023037,2025-01-24,0.9998,,0.0,2026-06-12 06:28:58
023037,2025-01-27,0.9997,,-0.01,2026-06-12 06:28:58
023037,2025-02-07,0.9989,,0.0,2026-06-12 06:28:58
023037,2025-02-14,0.9952,,0.0,2026-06-12 06:28:58
023037,2025-02-21,0.9831,,0.0,2026-06-12 06:28:58
023037,2025-02-28,0.9711,,0.0,2026-06-12 06:28:58
023037,2025-03-07,0.9973,,0.0,2026-06-12 06:28:58
023037,2025-03-14,1.0081,,0.0,2026-06-12 06:28:58
023037,2025-03-21,1.004,,0.0,2026-06-12 06:28:58
023037,2025-03-28,1.013,,0.0,2026-06-12 06:28:58
023037,2025-04-03,0.9946,,0.0,2026-06-12 06:28:58
023037,2025-04-11,0.9479,,0.0,2026-06-12 06:28:58
023037,2025-04-17,0.975,,0.0,2026-06-12 06:28:58
023037,2025-04-18,0.9707,,-0.44,2026-06-12 06:28:58
023037,2025-04-21,0.9903,,2.02,2026-06-12 06:28:58
023037,2025-04-22,1.0002,,1.0,2026-06-12 06:28:58
023037,2025-04-23,0.9735,,-2.67,2026-06-12 06:28:58
023037,2025-04-24,0.9734,,-0.01,2026-06-12 06:28:58
023037,2025-04-25,0.9734,,0.0,2026-06-12 06:28:58
023037,2025-04-28,0.9711,,-0.24,2026-06-12 06:28:58
023037,2025-04-29,0.9698,,-0.13,2026-06-12 06:28:58
023037,2025-04-30,0.9647,,-0.53,2026-06-12 06:28:58
023037,2025-05-06,0.9787,,1.45,2026-06-12 06:28:58
023037,2025-05-07,0.982,,0.34,2026-06-12 06:28:58
023037,2025-05-08,0.9724,,-0.98,2026-06-12 06:28:58
023037,2025-05-09,0.973,,0.06,2026-06-12 06:28:58
023037,2025-05-12,0.9763,,0.34,2026-06-12 06:28:58
023037,2025-05-13,0.9815,,0.53,2026-06-12 06:28:58
023037,2025-05-14,0.9899,,0.86,2026-06-12 06:28:58
