symbol,trade_date,open,high,low,close,volume,amount,adjust_type,created_at
HSTECH,2024-01-02,3803.44,3808.23,3694.21,3714.77002,405016398.0,20739364942.0,none,2026-06-12 06:29:32
HSTECH,2024-01-03,3657.96,3661.04,3623.03,3646.38989,525251313.0,20191258593.0,none,2026-06-12 06:29:32
HSTECH,2024-01-04,3665.15,3666.42,3616.47,3654.93994,383710021.0,17983348628.0,none,2026-06-12 06:29:32
HSTECH,2024-01-05,3627.15,3662.2,3572.28,3592.33008,423071269.0,20649734003.0,none,2026-06-12 06:29:32
HSTECH,2024-01-08,3589.35,3589.35,3467.22,3484.75,572083908.0,20278616900.0,none,2026-06-12 06:29:32
HSTECH,2024-01-09,3496.62,3539.58,3451.77,3454.5,509207900.0,20777696816.0,none,2026-06-12 06:29:32
HSTECH,2024-01-10,3444.34,3476.86,3407.08,3428.19995,539334198.0,20633703970.0,none,2026-06-12 06:29:32
HSTECH,2024-01-11,3434.42,3540.57,3428.99,3503.02002,564060045.0,22246904408.0,none,2026-06-12 06:29:32
HSTECH,2024-01-12,3476.86,3530.24,3454.61,3470.63989,371901306.0,16021561826.0,none,2026-06-12 06:29:32
HSTECH,2024-01-15,3459.51,3459.51,3380.59,3404.0,404302271.0,19236469030.0,none,2026-06-12 06:29:32
HSTECH,2024-01-16,3369.6,3413.37,3310.17,3325.92993,533619454.0,22700097282.0,none,2026-06-12 06:29:32
HSTECH,2024-01-17,3294.31,3294.31,3130.22,3160.0,1212394404.0,36157021155.0,none,2026-06-12 06:29:32
HSTECH,2024-01-18,3167.4,3201.15,3123.27,3176.08008,792702433.0,26407372420.0,none,2026-06-12 06:29:32
HSTECH,2024-01-19,3171.01,3209.88,3101.61,3129.91992,708044015.0,22138054958.0,none,2026-06-12 06:29:32
HSTECH,2024-01-22,3144.87,3156.19,2994.07,3035.46997,951570249.0,30593409864.0,none,2026-06-12 06:29:32
HSTECH,2024-01-23,3062.22,3192.83,3047.04,3147.81006,912419146.0,32954512074.0,none,2026-06-12 06:29:32
HSTECH,2024-01-24,3235.1,3303.72,3150.1,3281.15991,937189363.0,33544658552.0,none,2026-06-12 06:29:32
HSTECH,2024-01-25,3282.02,3324.36,3220.02,3310.68994,705189238.0,31265108194.0,none,2026-06-12 06:29:32
HSTECH,2024-01-26,3284.66,3284.66,3175.16,3186.48999,807274388.0,26540889777.0,none,2026-06-12 06:29:32
HSTECH,2024-01-29,3212.25,3256.08,3179.87,3203.59009,670358927.0,21193637648.0,none,2026-06-12 06:29:32
HSTECH,2024-01-30,3150.24,3160.3,3086.48,3098.87012,650731848.0,21090972566.0,none,2026-06-12 06:29:32
HSTECH,2024-01-31,3090.45,3106.5,2984.9,3005.80005,864099446.0,22800061337.0,none,2026-06-12 06:29:32
HSTECH,2024-02-01,3029.81,3128.4,3011.06,3065.94995,685799038.0,20601070811.0,none,2026-06-12 06:29:32
HSTECH,2024-02-02,3137.01,3165.8,3015.98,3043.8999,711339283.0,23016143457.0,none,2026-06-12 06:29:32
HSTECH,2024-02-05,2990.29,3095.43,2987.68,3038.84009,670834191.0,20140748802.0,none,2026-06-12 06:29:32
HSTECH,2024-02-06,3050.53,3253.99,3050.53,3243.81006,1247772544.0,34158461882.0,none,2026-06-12 06:29:32
HSTECH,2024-02-07,3269.13,3320.86,3172.02,3190.67993,1012848039.0,30005169067.0,none,2026-06-12 06:29:32
HSTECH,2024-02-08,3179.11,3223.17,3148.38,3168.55005,725797132.0,23650656532.0,none,2026-06-12 06:29:32
HSTECH,2024-02-09,3125.37,3130.47,3072.76,3127.21997,229132536.0,8069714058.0,none,2026-06-12 06:29:32
HSTECH,2024-02-14,3074.87,3205.66,3052.62,3197.87012,540777352.0,13575843505.0,none,2026-06-12 06:29:32
HSTECH,2024-02-15,3184.07,3239.7,3156.14,3223.1001,349667723.0,11727638101.0,none,2026-06-12 06:29:32
HSTECH,2024-02-16,3231.28,3357.5,3205.51,3342.72998,578473890.0,18541353644.0,none,2026-06-12 06:29:32
HSTECH,2024-02-19,3320.13,3320.13,3236.95,3253.09009,903450461.0,19102927037.0,none,2026-06-12 06:29:32
HSTECH,2024-02-20,3275.64,3283.2,3201.99,3264.3999,581482782.0,16945457121.0,none,2026-06-12 06:29:32
HSTECH,2024-02-21,3240.26,3421.13,3221.56,3351.21997,1091345127.0,27823263535.0,none,2026-06-12 06:29:32
HSTECH,2024-02-22,3346.69,3410.02,3315.68,3410.02002,721924445.0,20680680175.0,none,2026-06-12 06:29:32
HSTECH,2024-02-23,3386.22,3444.28,3363.06,3399.84009,827290348.0,21246775666.0,none,2026-06-12 06:29:32
